code;nome;peso;preco;unidades;unidades_atacado;fornecedor;grupo;grupo_nivel;ncm;code_barra;icmscst;piscst;pisaliq;cofinscst;cofinsaliq;origem;observacoes;dt_criacao;dt_modificacao;
1;PERCALUX LISO - 1,30 LARG. 25M;0.28;9.14;1;1;1;1;2;1;(null);1;1;0;1;0;1;;(null);(null);
2;PAPELAO CINZA;25;138.5;1;1;1;1;2;1;(null);1;1;0;1;0;1;;(null);(null);
3;PAPELAO FACE BRANCA;20;151.5;1;1;1;1;2;1;(null);1;1;0;1;0;1;;(null);(null);
4;CABECEADO ALGODAO C/ 50 METROS;0.3;59;1;1;1;1;2;5364;(null);1;1;0;1;0;1;;(null);(null);
5;CABECEADO ALGODAO C/ 100 METROS;0.6;81.5;1;1;1;1;2;5364;(null);1;1;0;1;0;1;;(null);(null);
6;CANTONEIRAS COR OURO/PRATA C/ 100 UNID.;0.05;26.5;1;1;1;1;2;6772;(null);1;1;0;1;0;1;;(null);(null);
7;Fitilho Acetinado P/Marcacao de Paginas;0.2;21.5;1;1;1;1;2;5364;(null);1;1;0;1;0;1;;(null);(null);
8;COLA BRANCA PULVITEC C/ 5 KGS.;5;64;1;1;1;1;2;3734;(null);1;1;0;1;0;1;;(null);(null);
9;COLA BRANCA PULVITEC C/ 10 KGS.;10;109;1;1;1;1;2;3734;(null);1;1;0;1;0;1;;(null);(null);
10;COLA BRANCA ARTECOL BALDE 05 QUILOS;5;88.5;1;1;1;1;2;3735;(null);1;1;0;1;0;1;;(null);(null);
11;COLA BRANCA ARTECOL 10 KGS.;10;157;1;1;1;1;2;3735;(null);1;1;0;1;0;1;;(null);(null);
12;COLA BRANCA ARTECOL 1 LITRO;1;22.5;1;1;1;1;2;3735;(null);1;1;0;1;0;1;;(null);(null);
13;LINHA POLIAMIDA Nº 30 - 2.500M;0.2;39.5;1;1;1;1;2;5034;(null);1;1;0;1;0;1;;(null);(null);
14;LINHA  POLIAMIDA Nº 10 - 300M;0.1;28.5;1;1;1;1;2;5034;(null);1;1;0;1;0;1;;(null);(null);
15;LINHA CIFA POLIESTER Nº 4 ENC. 200M;0.65;15;1;1;1;1;2;5032;(null);1;1;0;1;0;1;;(null);(null);
16;PERCALUX LISO - 1,30 LARG. 50M;0.28;7.53;1;1;1;1;2;1;(null);1;1;0;1;0;1;;(null);(null);
17;PERCALUX BICOLOR - 1,30 LARG;0.28;11.56;1;1;1;1;2;1;(null);1;1;0;1;0;1;;(null);(null);
18;PERCALUX METALIZADO - 1,30 LARG;0.28;10.32;1;1;1;1;2;1;(null);1;1;0;1;0;1;;(null);(null);
19;PERCALUX OURO/BRONZE - 1,30 LARG;0.28;10.76;1;1;1;1;2;1;(null);1;1;0;1;0;1;;(null);(null);
20;CABECEADO ALGODAO;0.006;1.18;1;1;1;1;2;5364;(null);1;1;0;1;0;1;;(null);(null);
21;ESPIRAL COLORIDO;0.8;16.5;1;1;1;1;2;4197;(null);1;1;0;1;0;1;;(null);(null);
22;PAPEL 120 GRS. PCT 250 FLS. TAM. 66 X 96;15;168.5;1;1;1;1;2;1;(null);1;1;0;1;0;1;;(null);(null);
23;CAPAS DE PP 0,30 MM PCT. C/ 100 - OF;1.7;27;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
24;CAPAS PP 0,30 MM - C/ 100 - A4 - CAMURCA;1.7;33.5;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
25;CAPAS PP 0,30 MM - C/ 100 - OF - CAMURCA;1.9;34.6;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
26;CAPAS PP 0,25MM - C/ 100 - A4 - CRISTAL;1.7;43;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
27;CAPAS PP 0,25MM - C/ 100 - A3 - CRISTAL;3.4;105;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
28;CAPAS PP 0,25MM - C/ 50 - A3 - CRISTAL;1.7;53;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
29;PERCALUX LISO - 1,30 LARG. AVULSO;0.28;9.14;1;1;1;1;2;1;(null);1;1;0;1;0;1;;(null);(null);
30;CAPAS PP 0,25MM - C/ 100 - OF - CRISTAL;1.7;46.5;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
31;PELICULA P/GRAVACAO 10CMX122MTS;0.28;69;1;1;1;1;2;3601;(null);1;1;0;1;0;1;;(null);(null);
32;PELICULA P/GRAVACAO 15CMX122MTS;0.42;89.5;1;1;1;1;2;3601;(null);1;1;0;1;0;1;;(null);(null);
33;PELICULA P/GRAVACAO 20CM X 122MTS;0.56;119.5;1;1;1;1;2;3601;(null);1;1;0;1;0;1;;(null);(null);
34;RESISTENCIA P/MAQ HOT STAMPING TR2;0.05;61.5;1;1;1;1;2;8079;(null);1;1;0;1;0;1;;(null);(null);
35;TERMOSTATO P/MAQ HOT STAMPING TR2;0.1;179.5;1;1;1;1;2;9090;(null);1;1;0;1;0;1;;(null);(null);
36;PINCA P/ TIPOS - FUNTIMOD;0.01;18;1;1;1;1;2;9386;(null);1;1;0;1;0;1;;(null);(null);
37;COMPOSICOES GRAFICAS (TIPOS);40;0;1;1;1;1;2;7233;(null);1;1;0;1;0;1;;(null);(null);
38;CAPAS DE PP 0,30 MM PCT. C/ 100 - A4;1.7;25.3;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
39;CAPAS DE PP 0,40 MM PCT C/ 100;1.9;33;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
40;CAPAS DE PP 0,30 TAM. A3 C/ 50;1.7;30;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
41;CAPAS DE PP 0,30 TAM A3 C/100;3.4;59;1;1;1;1;2;4227;(null);1;1;0;1;0;1;;(null);(null);
42;ESPIRAL COR PRETO;0.8;12.5;1;1;1;1;2;4197;(null);1;1;0;1;0;1;;(null);(null);
43;ESPIRAL TRANSPARENTE;0.8;14.5;1;1;1;1;2;4197;(null);1;1;0;1;0;1;;(null);(null);
44;WIRE-O TAM  A4;1;0;1;1;1;1;2;6420;(null);1;1;0;1;0;1;;(null);(null);
45;WIRE-O BOBINA;15;0;1;1;1;1;2;6420;(null);1;1;0;1;0;1;;(null);(null);
46;POLASEAL ESPES.0,5 TAM.CIC(66X99) C/100;0.09;18.7;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
47;POLASEAL ESPES.0,5 TAM.RG (79X108) C/100;0.1;20.7;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
48;POLASEAL ESPES.0,5TAM.CNPJ(121X191) C/50;0.2;25.6;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
49;POLASEAL ESPES.0,5 TAM.A4(22OX307)C/50;0.7;61.3;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
50;POLASEAL ESPES. 0,5 TAM.OF.(222X336)C/50;0.75;65.3;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
51;POLASEAL ESPES.0,5TAM.CNPJ(121X191)C/100;0.4;45.6;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
52;POLASEAL ESPES.0,5TAM.A4 (220X307) C/100;1.6;113.3;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
53;POLASEAL ESPES.0,5TM.OFIC (222X336)C/100;1.6;121.3;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
54;BOBINA P/PLASTIF.ESPES.0,5TAM.DOC.C/60MT;0.5;44.5;1;1;1;1;2;4256;(null);1;1;0;1;0;1;;(null);(null);
55;BOBINA P/PLASTIF.ESPES.0,5 TAM.OF C/60MT;1;76.6;1;1;1;1;2;4256;(null);1;1;0;1;0;1;;(null);(null);
56;TRANSPARENCIA S/ TARJA TAM. A4 PCT C/ 50;0.15;38.5;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
57;CLIPS P/ CRACHA PCT C/ 100;0.5;35.9;1;1;1;1;2;6760;(null);1;1;0;1;0;1;;(null);(null);
58;FITA P/ CRACHA PCT C/ 50;0.1;78.8;1;1;1;1;2;9386;(null);1;1;0;1;0;1;;(null);(null);
59;POLASEAL ESPES.0,7 TAM.CIC(66X99) C/100;0.05;21.6;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
60;POLASEAL ESPES.0,7 TAM.RG(79X108)C/100;0.1;23.6;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
61;POLASEAL ESPES.0,7 TAM.CNPJ(121X191)C/50;0.2;38.6;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
62;POLASEAL ESPES. 0,7 TAM.A4 (220X307)C/50;0.8;81.3;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
63;POLASEAL ESPES.0,7 TAM.OF(222X336) C/50;0.8;86.3;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
64;POLASEAL ESP 0,7 TAM. A3(303X426)C/50;1.5;161.3;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
65;POLASEAL ESPES.0,7TM CNPJ (121X191)C/100;0.5;69.6;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
66;POLASEAL ESPES..0,7 TM A4 (220X307)C/100;1.6;151.3;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
67;POLASEAL ESPES.0,7TM OFIC (222X336)C/100;1.6;162.3;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
68;POLASEAL ESPES.0,10 TAM.OF(222X336) C/50;0.9;105.8;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
69;POLASEAL ESPES.0,10TM.OFC (222X336)C/100;1.7;199.8;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
70;POLASEAL ESPES.0,7 TAM A3 (303X426)C/100;3.2;299.5;1;1;1;1;2;4239;(null);1;1;0;1;0;1;;(null);(null);
71;PLASTIFICADORA BOBINA TAM.OFICIO- BIVOLT;11;0;1;1;1;1;2;7212;(null);1;1;0;1;0;1;;(null);(null);
72;POLISELADORA MR PLAST.TAM.OFICIO/DOCUMEN;10;431.5;1;1;1;1;2;7212;(null);1;1;0;1;0;1;;(null);(null);
73;POLISELADORA MR PLAST. TAM/ A3/OF/DOC;12;617;1;1;1;1;2;7212;(null);1;1;0;1;0;1;;(null);(null);
74;ENCADERNADORA LASSANE ESPIRAMATIC P/15 F;15;436;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
75;ENCADERNADORA LASSANE ESPIRAMATIC P/20 F;17;529;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
76;ENCADERNADORA LASSANE MINI-MAX ELETRICA;40;308;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
77;ENCADERNADORA DUPLAMAX CONJUG. 2X1/3X1;30;0;1;1;1;1;2;7220;(null);1;1;0;1;0;1;;(null);(null);
78;FECHADORA DE WIRE-O;15;339;1;1;1;1;2;7220;(null);1;1;0;1;0;1;;(null);(null);
79;ALICATE P/ACABAMENTO ESP.(CORTE E VINCO);0.05;80.3;1;1;1;1;2;6673;(null);1;1;0;1;0;1;;(null);(null);
80;CANTEADEIRA LASSANE (P/ACABAMENTO);0.25;139;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
81;FURADOR OVOIDE - LASSANE (P/ CRACHA);0.2;133;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
82;REFILADORA LASSANE 460 MM;5;169;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
83;GUILHOTINA LASSANE 360MM P/15 FLS(FACAO);5;133;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
84;GUILHOTINA LASSANE 460MM P/15 FLS (FACAO;5.5;0;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
85;GUILHOTINA LASSANE P/300 FLS MOD GSI 34;35;154.9;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
86;GUILHOTINA LASSANE P/250 FLS (COM MESA);40;183.2;1;1;1;1;2;7217;(null);1;1;0;1;0;1;;(null);(null);
87;FACA GSI 340 - 415 X70X 9,1MM;2;445;1;1;1;1;0;6710;;1;1;0;1;0;1;;(null);2021-06-29 16:19:55;
